FAI_CAATS_PROJ_NUM,FMS_TASK_NUM,FMS_OBLIG_NUM,IFAMS_PROJECT_CODE,IFAMS_PROJECT_NAME,IFAMS_PROJECT_SHORT_NAME,IFAMS_PROJECT_INITIATIVE_CODE,IFAMS_PROJECT_INITIATIVE_CODE,IFAMS_PROJECT_TASK_CODE,IFAMS_PROJECT_TASK_NAME,IFAMS_SUB_PROJECT,LOAD_DATE
9258-000026,925-NRM18-15,925J85016,NRM925180015,Install Drainage for Burial Areas,InsDrnBurial,NRM,Nonrecurring Maintenance,,,,
9268-000011,926-NRM18-16,926J85007,NRM926180016,Renovate Maintenance Bldg Interior,RenoMtcBldg,NRM,Nonrecurring Maintenance,,,,
9308-000053,930-NRM18-0002,930J85059,NRM930180002,Remove Grasspave&Inst Asphalt Paving Cmt Accss to Burial Sec,RmveGrsspve,NRM,Nonrecurring Maintenance,,,,
9309-000039,930-NRM19-0016,930J95203,NRM930190016,Add overfill/leakage alarms for vehicle fueling AST. FCA ID ,FuelTank,NRM,Nonrecurring Maintenance,,,,
9309-000041,930-NRM19-0023,930J95204,NRM930190023,Lighting Protection Improvements,LightingProt,NRM,Nonrecurring Maintenance,,,,
9318-000042,931-NRM18-0003,931J85061,NRM931180003,Replace Fuel Storage Tank,RplFuelStrge,NRM,Nonrecurring Maintenance,,,,
9319-000034,931-NRM19-0018,931J9214,NRM931190018,Replace Dimming System,RplDimSys,NRM,Nonrecurring Maintenance,,,,
9349-000012,934-NRM19-0025,934J95010,NRM934190025,Water Treatment System Improvements,WtrTrtmtSys,NRM,Nonrecurring Maintenance,,,,
8039-000019,any,803J95204,NS0803190002,Bath,Bath,NS,National Shrine,,,,
8099-000012,any,809J95004,NS0809190003,Danville,Danville,NS,National Shrine,,,,
8158-000042,any,815J85017,NS0815180003,Long Island NC,LINC,NS,National Shrine,T001,Beam system,,
8159-000035,any,815J95015,NS0815190001,Long Island NC,LINC,NS,National Shrine,T001,Beam system,,
8188-000040,any,818J85026,NS0818180004,Togus West,Togus West,NS,National Shrine,,,,
8239-000011,any,823J95004,NS0823190004,Wood,Wood,NS,National Shrine,T002,Raise & Realign,,
8319-000005,any,831J95003,NS0831190005,Beaufort,Beaufort,NS,National Shrine,T003,Turf Renovation,,
8439-000005,any,843J95004,NS0843190006,Florence,Florence,NS,National Shrine,,,,
8449-000005,any,844J95003,NS0844190007,Ft. Gibson,Ft. Gibson,NS,National Shrine,T003,Turf Renovation,,
8469-000019,any,846J95022,NS0846190008,Fort Sam Houston,FtSamHouston,NS,National Shrine,T001,Beam system,,
8518-000008,any,851J85008,NS0851180006,Houston NC,Houston,NS,National Shrine,,,,
8529-000025,any,852J95016,NS0852190009,Jefferson Barracks,JeffBarracks,NS,National Shrine,,,,
8529-000025,any,852J95019,NS0852190009,Jefferson Barracks,JeffBarracks,NS,National Shrine,,,,
8588-000002,any,858J85002,NS0858180007,Little Rock NC,Little Rock,NS,National Shrine,,,,
8639-000004,any,863J95001,NS0863190010,Mound City,Mound City,NS,National Shrine,,,,
8658-000003,any,865J85003,NS0865180005,Nashville,Nashville,NS,National Shrine,,,,
8669-000006,any,866J95005,NS0866190011,Natchez,Natchez,NS,National Shrine,,,,
8849-000013,any,884J95013,NS0884190012,Black Hills,Black Hills,NS,National Shrine,T003,Turf Renovation,,
8889-000018,any,888J95020,NS0888190013,Yellowstone,Yellowstone,NS,National Shrine,,,,
8889-000019,any,888J95024,NS0888190014,Ft. Logan,Ft. Logan,NS,National Shrine,,,,
8948-000043,any,894J85016,NS0894180011,Ft. Snelling,Ft. Snelling,NS,National Shrine,,,,
8979-000023,any,897J95011,NS0897190015,Ft. Scott,Ft. Scott,NS,National Shrine,,,,
8989-000015,any,898J95015,NS0898190016,LANC,LANC,NS,National Shrine,T003,Turf Renovation,,
9158-000017,any,915J85013,NS0915180014,Abraham Lincoln,Abe Lincoln,NS,National Shrine,,,,
9169-000025,any,916J95017,NS0916190017,Dallas/Ft. Worth,DFW,NS,National Shrine,,,,
SC-18-04,any,101P95004,SC-18-04,Anderson,Anderson,SC000001,South Carolina,T008,Expansion,2018,
SD-14-03-1,any,101P85015,SD-14-03,Sisseton,Sisseton,SD000001,South Dakota,T009,Improvement,2014,
SD-14-03,any,101P60000,SD-14-03,Sisseton,Sisseton,SD000001,South Dakota,T007,Establishment,2014,
SD-18-06,any,101P95008,SD-18-06,Sioux Falls,Sioux Falls,SD000002,South Dakota,T007,Establishment,2018,
TN-10-14,any,101P60006,TN-10-14,Jackson ,Jackson ,TN000001,Tennessee,T007,Establishment,2010,
TN-16-19,any,101P75007,TN-16-19,Knoxville,Knoxville,TN000002,Tennessee,T008,Expansion,2016,
TN-17-20,any,101P85014,TN-17-20,Knoxville,Knoxville,TN000003,Texas,T009,Improvement,2017,
TX-17-18,any,101P85005,TX-17-18,Killeen,Killeen,TX000001,Texas,T008,Expansion,2017,
TX-17-20,any,101P95009,TX-17-20,Abilene,Abilene,TX000002,Texas,T008,Expansion,2017,
TX-18-21,any,101P95010,TX-18-21,Corpus Christi,Corpus Chris,TX000003,Texas,T008,Expansion,2018,
VA-17-09,any,101P85010,VA-17-09,Suffolk,Suffolk,VA000001,Virginia,T008,Expansion,2017,
VT-05-04,any,101P50009,VT-05-04,Montpelier,Montpelier,VT000001,Vermont,T008,Expansion,2005,
WA-13-02,any,101P60007,WA-13-02,Medical Lake,Medical Lake,WA000001,Washington,T008,Expansion,2013,
WI-15-13,any,101P75009,WI-15-13,King,King,WI000001,Wisconsin,T008,Expansion,2015,
